epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.97,1.1368,1.2649,1.07314,0.82992,0.904,0.93105,0.70645,1.04669,1.09857,1.14252,0.000416037,0.000416037,0.000416037
2,363.434,0.96996,0.82295,1.00463,0.83898,0.90771,0.92937,0.71511,0.93498,0.91369,1.05996,0.000827208,0.000827208,0.000827208
3,555.299,0.93328,0.78777,0.99388,0.87015,0.92081,0.95611,0.76691,0.89704,0.76475,1.04628,0.00123288,0.00123288,0.00123288
4,735.808,0.89032,0.71076,0.9724,0.88022,0.91185,0.95501,0.76335,0.845,0.8444,1.02042,0.00122525,0.00122525,0.00122525
5,914.86,0.84657,0.67275,0.95527,0.8984,0.90282,0.96336,0.79244,0.80189,0.7796,1.01422,0.001217,0.001217,0.001217
6,1093.49,0.83361,0.67084,0.95242,0.85808,0.92675,0.95551,0.76302,0.87019,0.75968,1.04834,0.00120875,0.00120875,0.00120875
7,1272.78,0.79474,0.62973,0.92661,0.89066,0.92801,0.96145,0.78378,0.79927,0.67064,0.98994,0.0012005,0.0012005,0.0012005
8,1448.52,0.81036,0.62918,0.9375,0.8895,0.9245,0.96205,0.79159,0.75459,0.73549,0.97001,0.00119225,0.00119225,0.00119225
9,1620.8,0.76851,0.60478,0.92065,0.88486,0.93092,0.96202,0.80826,0.7361,0.61511,0.96561,0.001184,0.001184,0.001184
10,1800.27,0.78047,0.61283,0.92844,0.86202,0.93449,0.95139,0.80943,0.70524,0.62763,0.9518,0.00117575,0.00117575,0.00117575
11,1980.21,0.76705,0.58532,0.91531,0.88481,0.93305,0.95775,0.77997,0.75288,0.63644,0.95722,0.0011675,0.0011675,0.0011675
12,2159.43,0.74203,0.57398,0.91307,0.87943,0.93273,0.95318,0.79458,0.74423,0.62225,0.95838,0.00115925,0.00115925,0.00115925
13,2337.2,0.74576,0.57869,0.9188,0.86401,0.94021,0.95284,0.78825,0.73858,0.87786,0.94911,0.001151,0.001151,0.001151
14,2515.6,0.73658,0.56208,0.91578,0.89666,0.93994,0.96925,0.82013,0.68455,0.66279,0.93601,0.00114275,0.00114275,0.00114275
15,2689.17,0.7278,0.55513,0.90161,0.8827,0.93892,0.96297,0.80441,0.6838,0.69221,0.92642,0.0011345,0.0011345,0.0011345
16,2871.88,0.70397,0.53899,0.90229,0.90987,0.94002,0.96739,0.79966,0.71338,0.61652,0.93464,0.00112625,0.00112625,0.00112625
